patent rdsales      rdw5
    42  0.0549 2.2645589
     1  0.0032 0.6597594
     3  0.0078 1.0240240
     2  0.0803 1.4563306
     3  0.0686 1.2468994
    40  3.3319 1.5157040
    60  0.0243 2.2683666
    30  0.0128 1.7623709
     7  0.0252 1.3208824
     3  0.0094 1.6836432
     5  0.0146 1.1725021
    59  0.0496 2.0221069 
    26  0.0395 1.8221552
     3  0.0780 1.1134018
     0  0.0171 1.1679149
    66  0.0347 2.3320787
     0  0.0569 1.5582447
     8  0.1095 1.1855419
     2  0.0190 0.9691460
     4  0.0084 1.4436289
     0  0.1003 0.7254958
     0  0.0623 1.1519083
     3  0.0707 0.8201074
     6  0.0359 1.2787973
     3  0.0596 0.8992448
     0  0.0076 0.7817659
     6  0.0185 1.2036998
     2  0.0080 0.7972077
     3  0.0640 0.9916550
     0  0.0780 0.6931423
     1  0.0025 0.6940023
     1  0.0040 0.9610777
     0  0.0329 0.6999405
    25  0.0234 2.0350085
     2  0.0387 0.5988285
     4  0.0133 1.0946777
     1  0.0324 1.2343938
     1  0.0882 1.3464345
    51  0.0587 1.7434397
   105  0.0446 2.5719388
     1  0.0131 0.8790794
     0  0.0160 0.5536071
     0  0.0143 0.8262152
   166  0.0843 2.5742546
     8  0.0320 1.5474679
     6  0.0599 1.3708898
   173  0.0821 2.6725685
    25  0.0535 1.8891746
    14  0.0226 1.3240828
     3  0.0397 1.2224536
     0  0.0103 0.6271309
     0  0.7159 0.9643509
     2  0.0107 1.0548515
    93  0.0467 2.4490495
     3  0.0369 1.1526919
     2  0.0316 1.0613907
     0  0.0355 0.5638652
     5  0.0166 1.7374873
    23  0.0417 1.9890557
    11  0.0447 1.6632608
    13  0.0401 1.6302282
     0  0.0050 0.9208114
    90  0.0618 2.2195401
    63  0.0690 2.2086909
   112  0.0813 2.2268321
   115  0.0409 2.1836985
    48  0.0331 2.0506975
    15  0.0323 1.7947038
    69  0.0859 1.8854000
     4  0.0591 1.4358830
